Volumenindex des Auftragseingangs, Tiefbau
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/09/2002;113,3;10,4;93,5;-0,5;97,5;5,4;4,0
01/10/2002;100,6;5,1;92,8;-0,7;94,9;-2,6;2,1
01/11/2002;83,0;-1,4;92,0;-0,8;92,0;-3,1;-0,0
01/12/2002;74,8;-3,2;91,3;-0,8;91,2;-0,8;-0,1
01/01/2003;57,7;-8,1;90,6;-0,8;90,5;-0,8;-0,1
01/02/2003;65,4;-8,4;90,0;-0,7;89,3;-1,3;-0,6
01/03/2003;95,6;-7,6;89,3;-0,7;88,0;-1,5;-1,3
01/04/2003;90,9;-14,6;88,7;-0,7;85,4;-2,9;-3,3
01/05/2003;94,3;-4,4;88,2;-0,5;87,6;2,6;-0,6
01/06/2003;108,1;-5,6;87,9;-0,4;89,2;1,8;1,3
01/07/2003;106,4;1,9;87,3;-0,6;92,5;3,7;5,2
01/08/2003;88,9;-9,4;86,7;-0,7;85,6;-7,5;-1,1
01/09/2003;103,5;-8,6;86,0;-0,7;84,1;-1,8;-2,0
01/10/2003;89,7;-10,8;85,5;-0,6;84,3;0,3;-1,1
01/11/2003;73,5;-11,4;85,0;-0,6;85,5;1,4;0,5
01/12/2003;71,4;-4,5;84,3;-0,8;84,0;-1,8;-0,3
01/01/2004;51,0;-11,6;83,6;-0,8;82,3;-2,1;-1,4
01/02/2004;57,7;-11,8;83,1;-0,7;84,5;2,7;1,4
01/03/2004;94,9;-0,7;82,5;-0,7;85,1;0,7;2,6
01/04/2004;87,6;-3,6;81,8;-0,9;84,8;-0,3;3,1
01/05/2004;84,6;-10,3;81,0;-0,9;80,8;-4,8;-0,3
01/06/2004;103,1;-4,6;80,2;-1,0;80,1;-0,9;-0,2
01/07/2004;86,3;-18,9;79,3;-1,1;74,5;-6,9;-4,8
01/08/2004;86,2;-3,0;78,7;-0,8;76,6;2,8;-2,0
01/09/2004;98,5;-4,8;78,2;-0,6;79,5;3,7;1,3
01/10/2004;81,0;-9,7;77,7;-0,6;78,9;-0,7;1,2
01/11/2004;68,9;-6,3;77,5;-0,3;77,9;-1,2;0,5
01/12/2004;67,9;-4,9;77,4;-0,1;77,7;-0,3;0,3
01/01/2005;47,7;-6,5;77,5;0,1;79,5;2,3;2,0
01/02/2005;50,1;-13,2;77,7;0,2;76,2;-4,1;-1,5
01/03/2005;76,9;-19,0;78,0;0,4;75,0;-1,5;-2,9
01/04/2005;80,5;-8,1;78,5;0,7;75,3;0,3;-3,2
01/05/2005;86,2;1,9;79,1;0,7;79,5;5,6;0,4
01/06/2005;100,3;-2,7;79,6;0,7;77,6;-2,3;-1,9
01/07/2005;92,6;7,3;80,2;0,7;82,5;6,2;2,3
01/08/2005;105,7;22,6;80,7;0,6;87,5;6,0;6,8
01/09/2005;97,7;-0,8;81,0;0,4;80,9;-7,5;-0,1
01/10/2005;79,3;-2,1;81,3;0,3;81,6;0,8;0,3
01/11/2005;71,2;3,3;81,6;0,4;80,3;-1,6;-1,4
01/12/2005;70,4;3,7;81,8;0,2;82,2;2,4;0,4
01/01/2006;51,0;6,9;81,7;-0,1;79,6;-3,2;-2,1
01/02/2006;55,3;10,4;81,6;-0,2;80,4;1,0;-1,1
01/03/2006;86,8;12,9;81,3;-0,3;80,8;0,4;-0,5
01/04/2006;81,1;0,7;81,1;-0,2;81,5;0,9;0,4
01/05/2006;94,8;10,0;81,0;-0,1;82,8;1,7;1,8
01/06/2006;103,7;3,4;81,1;0,0;85,1;2,8;4,1
01/07/2006;92,4;-0,2;81,3;0,2;82,6;-3,0;1,3
01/08/2006;91,9;-13,1;81,5;0,2;79,8;-3,4;-1,7
01/09/2006;96,0;-1,7;81,5;0,1;81,0;1,6;-0,5
01/10/2006;76,1;-4,0;81,7;0,1;76,1;-6,0;-5,5
01/11/2006;73,4;3,1;81,7;0,1;80,2;5,4;-1,5
01/12/2006;65,3;-7,2;81,9;0,2;80,5;0,3;-1,5
01/01/2007;60,3;18,2;82,3;0,4;83,9;4,2;1,6
01/02/2007;62,3;12,7;82,8;0,6;85,7;2,2;2,9
01/03/2007;91,7;5,6;83,4;0,8;84,4;-1,5;1,0
01/04/2007;88,7;9,4;84,2;0,9;87,9;4,1;3,7
01/05/2007;90,7;-4,3;84,9;0,9;83,2;-5,4;-1,8
01/06/2007;98,9;-4,6;85,6;0,8;81,6;-1,8;-3,9
01/07/2007;91,7;-0,8;86,4;0,9;80,1;-1,9;-6,3
01/08/2007;91,0;-1,0;87,1;0,9;84,7;5,7;-2,5
01/09/2007;98,4;2,5;87,9;0,8;88,5;4,5;0,6
01/10/2007;103,6;36,1;88,4;0,6;96,9;9,5;8,5
01/11/2007;88,0;19,9;88,5;0,1;93,8;-3,2;5,3
01/12/2007;72,3;10,7;88,1;-0,4;90,7;-3,4;2,6
01/01/2008;64,9;7,6;87,5;-0,7;87,8;-3,1;0,4
01/02/2008;61,8;-0,8;86,7;-0,9;84,6;-3,7;-2,1
01/03/2008;87,9;-4,1;85,6;-1,3;86,2;1,9;0,6
01/04/2008;85,5;-3,6;84,3;-1,4;78,5;-8,9;-5,8
01/05/2008;89,1;-1,8;83,0;-1,6;82,6;5,3;-0,3
01/06/2008;97,6;-1,3;81,7;-1,5;80,8;-2,3;-0,9
01/07/2008;108,0;17,8;80,4;-1,6;87,7;8,5;7,3
01/08/2008;81,5;-10,4;79,1;-1,5;78,9;-10,0;-0,2
01/09/2008;90,0;-8,5;78,2;-1,2;77,8;-1,4;-0,4
01/10/2008;77,6;-25,1;77,9;-0,4;73,6;-5,5;-4,3
01/11/2008;61,6;-30,0;77,9;0,0;75,7;2,9;-2,2
01/12/2008;61,5;-14,9;78,3;0,5;75,7;-0,1;-2,6
01/01/2009;54,1;-16,6;78,6;0,4;79,1;4,5;0,5
01/02/2009;55,4;-10,4;78,9;0,4;77,2;-2,4;-1,7
01/03/2009;83,8;-4,7;79,3;0,5;76,8;-0,5;-2,5
01/04/2009;89,1;4,2;79,8;0,5;84,0;9,3;4,2
01/05/2009;86,8;-2,6;80,3;0,7;80,6;-4,0;0,3
01/06/2009;105,5;8,1;80,8;0,7;85,8;6,4;4,9
01/07/2009;99,0;-8,3;81,4;0,6;79,6;-7,1;-1,7
01/08/2009;87,4;7,2;81,7;0,5;83,4;4,7;1,6
01/09/2009;93,5;3,9;82,0;0,3;81,2;-2,6;-0,8
01/10/2009;81,8;5,4;81,9;-0,1;80,7;-0,5;-1,1
01/11/2009;62,4;1,3;81,8;-0,1;80,1;-0,8;-1,7
01/12/2009;69,8;13,5;81,5;-0,3;84,5;5,5;3,0
01/01/2010;49,7;-8,1;81,1;-0,5;80,0;-5,4;-1,1
01/02/2010;66,6;20,2;80,5;-0,7;83,9;4,9;3,4
01/03/2010;96,7;15,4;79,8;-0,9;81,4;-3,1;1,5
01/04/2010;83,1;-6,7;79,0;-1,0;76,7;-5,7;-2,3
