Volumenindex des Auftragseingangs, Bauhauptgewerbe insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/10/2007;89,3;24,2;79,1;0,4;85,0;11,9;5,9
01/11/2007;71,4;6,1;79,1;0,0;79,6;-6,4;0,5
01/12/2007;68,4;3,2;78,9;-0,2;80,1;0,6;1,2
01/01/2008;63,6;11,0;78,7;-0,3;81,3;1,5;2,6
01/02/2008;60,0;1,0;78,3;-0,5;76,8;-5,5;-1,4
01/03/2008;81,4;-7,0;77,7;-0,7;78,4;2,1;0,7
01/04/2008;83,8;4,4;77,0;-0,9;75,9;-3,2;-1,1
01/05/2008;77,5;-6,6;76,2;-1,1;74,4;-2,0;-1,8
01/06/2008;90,2;1,8;75,3;-1,2;76,0;2,2;0,7
01/07/2008;89,3;3,7;74,2;-1,5;76,5;0,6;2,3
01/08/2008;73,0;-7,0;73,0;-1,5;71,9;-6,0;-1,2
01/09/2008;85,5;2,4;72,0;-1,4;75,0;4,3;2,9
01/10/2008;71,2;-20,3;71,2;-1,2;68,3;-8,9;-2,9
01/11/2008;58,8;-17,6;70,5;-1,0;70,3;3,0;-0,1
01/12/2008;60,5;-11,5;70,1;-0,5;69,7;-0,9;-0,3
01/01/2009;48,0;-24,5;69,6;-0,6;69,1;-1,0;-0,6
01/02/2009;49,6;-17,3;69,3;-0,5;67,8;-1,8;-1,5
01/03/2009;73,9;-9,2;69,2;-0,2;65,9;-2,7;-3,2
01/04/2009;73,7;-12,1;69,2;-0,0;69,9;5,9;0,7
01/05/2009;73,9;-4,6;69,3;0,3;70,6;1,1;1,3
01/06/2009;84,0;-6,9;69,6;0,3;70,5;-0,2;0,9
01/07/2009;81,5;-8,7;69,9;0,4;69,1;-1,9;-0,8
01/08/2009;75,3;3,2;70,2;0,5;72,5;4,9;2,3
01/09/2009;80,8;-5,5;70,5;0,5;69,4;-4,3;-1,2
01/10/2009;71,7;0,7;70,8;0,3;70,7;1,9;-0,1
01/11/2009;59,1;0,5;71,1;0,5;71,0;0,5;-0,1
01/12/2009;64,4;6,4;71,3;0,2;73,3;3,2;2,0
01/01/2010;44,8;-6,7;71,3;0,0;69,6;-5,0;-1,7
01/02/2010;58,9;18,7;71,2;-0,1;73,0;4,9;1,8
01/03/2010;85,0;15,0;71,0;-0,3;73,0;0,1;2,0
01/04/2010;74,5;1,1;70,6;-0,5;70,0;-4,2;-0,7
01/05/2010;73,3;-0,8;70,3;-0,4;69,1;-1,3;-1,3
01/06/2010;83,8;-0,2;70,2;-0,2;69,4;0,4;-0,8
01/07/2010;78,9;-3,2;70,1;-0,1;69,4;-0,0;-0,8
01/08/2010;75,3;0,0;70,2;0,1;70,1;1,0;-0,1
01/09/2010;79,7;-1,4;70,3;0,2;71,2;1,6;0,8
01/10/2010;72,3;0,8;70,5;0,2;72,2;1,4;1,7
01/11/2010;59,3;0,3;70,6;0,2;70,1;-2,8;-0,5
01/12/2010;57,6;-10,6;70,8;0,3;67,8;-3,3;-3,0
01/01/2011;48,6;8,5;71,1;0,4;71,8;5,8;0,6
01/02/2011;59,5;1,0;71,4;0,4;71,7;-0,1;0,2
01/03/2011;86,4;1,6;71,6;0,3;70,8;-1,2;-0,8
01/04/2011;76,2;2,3;72,0;0,5;71,6;1,1;-0,4
01/05/2011;83,4;13,8;72,3;0,5;74,1;3,5;1,8
01/06/2011;83,3;-0,6;72,7;0,5;72,7;-1,9;-0,0
01/07/2011;83,8;6,2;73,1;0,5;74,4;2,3;1,3
01/08/2011;78,0;3,6;73,5;0,6;71,9;-3,3;-1,6
01/09/2011;80,3;0,8;73,9;0,6;73,3;2,0;-0,6
01/10/2011;67,9;-6,1;74,4;0,7;73,3;0,0;-1,1
01/11/2011;66,6;12,3;74,8;0,5;76,3;4,1;1,5
01/12/2011;65,6;13,9;75,1;0,4;75,4;-1,2;0,4
01/01/2012;55,9;15,0;75,2;0,1;75,4;-0,1;0,2
01/02/2012;65,5;10,1;75,2;0,1;74,8;-0,8;-0,4
01/03/2012;91,6;6,0;75,2;0,0;77,7;3,9;2,5
01/04/2012;81,7;7,2;75,2;-0,1;76,9;-1,1;1,7
01/05/2012;79,6;-4,6;74,9;-0,3;74,0;-3,8;-1,0
01/06/2012;86,6;4,0;74,7;-0,4;73,6;-0,5;-1,1
01/07/2012;82,6;-1,4;74,5;-0,2;72,0;-2,1;-2,5
01/08/2012;84,6;8,5;74,4;-0,1;77,4;7,4;2,9
01/09/2012;77,2;-3,9;74,4;-0,1;74,5;-3,7;0,1
01/10/2012;88,6;30,5;74,3;-0,0;93,7;25,9;19,4
01/11/2012;61,2;-8,1;74,4;0,2;72,4;-22,8;-2,0
01/12/2012;61,3;-6,6;74,7;0,3;75,0;3,5;0,3
01/01/2013;55,4;-0,9;75,1;0,5;74,7;-0,4;-0,4
01/02/2013;64,4;-1,7;75,5;0,6;76,1;1,9;0,5
01/03/2013;83,3;-9,1;76,1;0,7;74,0;-2,7;-2,1
01/04/2013;83,4;2,1;76,7;0,8;74,8;1,1;-1,9
01/05/2013;81,4;2,3;77,5;1,0;77,3;3,4;-0,2
01/06/2013;94,6;9,2;78,2;0,9;81,4;5,3;3,2
01/07/2013;94,9;14,9;78,8;0,7;81,5;0,1;2,7
01/08/2013;80,3;-5,1;79,2;0,5;77,8;-4,5;-1,4
01/09/2013;81,5;5,6;79,5;0,3;79,2;1,8;-0,2
01/10/2013;77,6;-12,4;79,7;0,3;80,2;1,2;0,5
01/11/2013;68,7;12,3;79,7;-0,0;80,9;0,8;1,2
01/12/2013;68,9;12,4;79,4;-0,3;80,1;-1,0;0,7
01/01/2014;61,3;10,6;79,0;-0,5;78,6;-1,9;-0,4
01/02/2014;66,4;3,1;78,5;-0,6;77,7;-1,2;-0,8
01/03/2014;87,9;5,5;78,0;-0,6;77,7;0,0;-0,4
01/04/2014;87,1;4,4;77,6;-0,6;79,6;2,4;2,0
01/05/2014;83,0;2,0;77,1;-0,6;77,2;-2,9;0,1
01/06/2014;83,3;-11,9;76,8;-0,4;73,9;-4,3;-2,9
01/07/2014;89,9;-5,3;76,6;-0,2;77,4;4,7;0,8
01/08/2014;76,2;-5,1;76,6;-0,1;76,5;-1,2;-0,1
01/09/2014;79,5;-2,5;76,5;-0,1;76,3;-0,2;-0,2
01/10/2014;74,1;-4,5;76,4;-0,2;77,8;1,9;1,4
01/11/2014;62,9;-8,4;76,3;-0,1;74,8;-3,8;-1,5
01/12/2014;65,4;-5,1;76,3;0,0;75,5;0,8;-0,8
01/01/2015;60,7;-1,0;76,4;0,1;77,8;3,1;1,4
01/02/2015;66,9;0,8;76,6;0,2;77,4;-0,5;0,8
01/03/2015;92,1;4,8;76,8;0,3;77,2;-0,2;0,4
01/04/2015;81,7;-6,2;77,2;0,5;75,4;-2,3;-1,7
01/05/2015;81,9;-1,3;77,7;0,6;76,9;2,0;-0,7
01/06/2015;90,0;8,0;78,4;1,0;78,1;1,5;-0,3
01/07/2015;86,1;-4,2;79,3;1,2;77,8;-0,4;-1,6
01/08/2015;77,3;1,4;80,5;1,4;80,6;3,7;0,2
