Volumenindex des Umsatzes im Verarbeitenden Gewerbe, aktueller Monat vorläufig
Datum;Verarbeitendes Gewerbe, 2021=100;Vorleistungsgüter, 2021=100;Investitionsgüter, 2021=100;Gebrauchsgüter, 2021=100;Verbrauchsgüter, 2021=100
01/04/2019;106,4;100,5;113,0;95,1;102,6
01/05/2019;109,1;103,6;116,7;99,1;102,7
01/06/2019;100,3;94,7;107,4;90,2;95,5
01/07/2019;107,2;102,3;112,0;95,4;106,0
01/08/2019;97,0;94,1;98,3;87,2;100,1
01/09/2019;108,5;99,9;117,7;105,9;103,6
01/10/2019;108,6;102,1;113,7;107,8;109,0
01/11/2019;107,0;97,8;116,1;107,1;104,0
01/12/2019;96,3;78,0;111,7;88,9;95,6
01/01/2020;96,8;98,4;93,6;95,1;99,5
01/02/2020;99,4;96,3;102,2;97,1;97,2
01/03/2020;104,3;102,2;104,3;98,8;109,4
01/04/2020;71,5;80,3;56,8;66,8;91,9
01/05/2020;76,8;78,2;69,9;80,5;89,8
01/06/2020;93,0;86,6;96,3;96,1;96,6
01/07/2020;97,4;92,0;100,3;93,0;101,1
01/08/2020;85,4;84,3;82,6;85,0;93,9
01/09/2020;104,8;98,2;109,8;108,6;104,9
01/10/2020;105,8;101,0;110,2;108,6;103,8
01/11/2020;107,5;101,0;115,5;112,6;100,1
01/12/2020;100,3;85,7;113,3;92,3;98,8
01/01/2021;85,7;92,9;80,1;88,8;86,7
01/02/2021;94,3;96,1;94,8;96,9;90,8
01/03/2021;117,0;114,6;122,8;111,7;110,6
01/04/2021;99,4;101,9;99,8;99,3;92,9
01/05/2021;96,1;98,5;94,1;94,7;96,3
01/06/2021;105,5;107,5;105,0;107,2;104,1
01/07/2021;99,6;100,7;97,7;97,8;101,2
01/08/2021;89,0;93,1;79,9;86,4;100,6
01/09/2021;102,6;102,5;100,3;108,3;107,5
01/10/2021;99,4;99,9;95,6;103,6;102,5
01/11/2021;108,8;103,8;114,3;110,2;105,4
01/12/2021;102,4;88,7;115,6;95,1;101,4
01/01/2022;92,4;97,7;88,0;93,0;92,5
01/02/2022;98,5;100,2;97,5;102,4;96,3
01/03/2022;111,1;112,8;110,1;113,3;113,4
01/04/2022;94,1;96,0;90,7;98,1;96,2
01/05/2022;103,8;103,8;104,5;112,6;100,6
01/06/2022;105,9;101,8;110,5;102,7;103,2
01/07/2022;97,2;95,7;98,9;92,0;94,5
01/08/2022;97,9;96,7;97,5;97,1;100,1
01/09/2022;110,7;103,2;119,3;114,5;107,5
01/10/2022;99,7;93,9;105,1;99,2;97,5
01/11/2022;113,2;101,0;127,5;109,8;106,3
01/12/2022;104,4;81,0;128,3;92,9;97,6
01/01/2023;92,0;93,6;90,6;90,1;93,6
