datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/04/2003,87.6,0.5,85.9,-0.0,86.3,1.8,0.4
01/05/2003,87.0,0.6,85.8,-0.0,86.8,0.6,1.0
01/06/2003,79.5,-1.7,85.8,-0.1,85.5,-1.6,-0.3
01/07/2003,85.5,-0.9,85.8,0.0,85.3,-0.2,-0.5
01/08/2003,80.1,-4.2,85.8,0.1,85.6,0.3,-0.3
01/09/2003,84.6,1.2,85.9,0.1,86.0,0.5,0.1
01/10/2003,91.0,0.2,86.1,0.2,86.4,0.5,0.4
01/11/2003,88.6,-3.3,86.2,0.2,85.6,-1.0,-0.6
01/12/2003,104.3,0.4,86.4,0.2,86.3,0.9,-0.0
01/01/2004,79.9,0.6,86.5,0.2,87.0,0.8,0.5
01/02/2004,75.6,1.2,86.6,0.1,86.7,-0.4,0.1
01/03/2004,89.8,5.5,86.8,0.1,86.7,-0.0,-0.0
01/04/2004,89.5,2.2,86.9,0.1,87.6,1.0,0.7
01/05/2004,83.4,-4.1,86.9,0.1,85.6,-2.3,-1.4
01/06/2004,85.0,6.9,87.1,0.2,87.6,2.4,0.6
01/07/2004,87.7,2.6,87.2,0.1,88.1,0.6,0.9
01/08/2004,82.0,2.4,87.3,0.1,86.6,-1.7,-0.7
01/09/2004,86.0,1.7,87.4,0.1,87.3,0.8,-0.1
01/10/2004,90.3,-0.8,87.5,0.2,87.3,0.0,-0.3
01/11/2004,93.0,5.0,87.7,0.2,87.9,0.7,0.2
01/12/2004,107.2,2.8,87.9,0.2,87.5,-0.5,-0.4
01/01/2005,80.5,0.8,88.0,0.2,87.9,0.5,-0.1
01/02/2005,77.1,2.0,88.2,0.2,88.3,0.4,0.1
01/03/2005,90.9,1.2,88.4,0.2,89.6,1.5,1.2
01/04/2005,90.4,1.0,88.5,0.1,87.9,-2.0,-0.7
01/05/2005,87.1,4.4,88.6,0.1,88.9,1.2,0.3
01/06/2005,87.5,2.9,88.8,0.1,88.3,-0.7,-0.5
01/07/2005,86.4,-1.5,88.8,0.1,88.5,0.2,-0.4
01/08/2005,86.8,5.9,88.9,0.1,89.2,0.9,0.3
01/09/2005,88.1,2.4,89.0,0.1,89.1,-0.2,0.0
01/10/2005,90.7,0.4,89.1,0.1,89.3,0.3,0.2
