date,indicator,value
01/08/2021;101,2021100bau_von_gebaeuden_2,5
01/09/2021;101,2021100bau_von_gebaeuden_2,5
01/10/2021;101,2021100bau_von_gebaeuden_2,0
01/11/2021;101,2021100bau_von_gebaeuden_2,4
01/12/2021;99,2021100bau_von_gebaeuden_2,7
01/01/2022;98,2021100bau_von_gebaeuden_2,0
01/02/2022;99,2021100bau_von_gebaeuden_2,2
01/03/2022;100,2021100bau_von_gebaeuden_2,5
01/04/2022;100,2021100bau_von_gebaeuden_2,4
01/05/2022;100,2021100bau_von_gebaeuden_2,4
01/06/2022;101,2021100bau_von_gebaeuden_2,7
01/07/2022;100,2021100bau_von_gebaeuden_2,8
01/08/2022;101,2021100bau_von_gebaeuden_2,3
01/09/2022;102,2021100bau_von_gebaeuden_2,9
01/10/2022;102,2021100bau_von_gebaeuden_2,0
01/11/2022;101,2021100bau_von_gebaeuden_2,5
01/12/2022;99,2021100bau_von_gebaeuden_2,2
01/01/2023;98,2021100bau_von_gebaeuden_2,4
01/02/2023;98,2021100bau_von_gebaeuden_2,0
01/03/2023;99,2021100bau_von_gebaeuden_2,3
01/04/2023;100,2021100bau_von_gebaeuden_2,4
01/05/2023;100,2021100bau_von_gebaeuden_2,3
01/06/2023;100,2021100bau_von_gebaeuden_2,5
01/07/2023;100,2021100bau_von_gebaeuden_2,1
01/08/2023;100,2021100bau_von_gebaeuden_2,5
01/09/2023;101,2021100bau_von_gebaeuden_2,5
01/10/2023;101,2021100bau_von_gebaeuden_2,4
01/11/2023;100,2021100bau_von_gebaeuden_2,1
01/12/2023;99,2021100bau_von_gebaeuden_2,2
01/01/2024;98,2021100bau_von_gebaeuden_2,2
01/02/2024;98,2021100bau_von_gebaeuden_2,6
01/03/2024;99,2021100bau_von_gebaeuden_2,3
01/04/2024;100,2021100bau_von_gebaeuden_2,1
01/05/2024;99,2021100bau_von_gebaeuden_2,1
01/06/2024;100,2021100bau_von_gebaeuden_2,6
01/07/2024;100,2021100bau_von_gebaeuden_2,4
01/08/2024;100,2021100bau_von_gebaeuden_2,4
01/09/2024;101,2021100bau_von_gebaeuden_2,5
01/10/2024;101,2021100bau_von_gebaeuden_2,5
01/11/2024;100,2021100bau_von_gebaeuden_2,1
01/12/2024;99,2021100bau_von_gebaeuden_2,3
01/01/2025;98,2021100bau_von_gebaeuden_2,6
01/02/2025;99,2021100bau_von_gebaeuden_2,2
01/03/2025;100,2021100bau_von_gebaeuden_2,2
01/04/2025;100,2021100bau_von_gebaeuden_2,7
01/05/2025;100,2021100bau_von_gebaeuden_2,1
01/06/2025;101,2021100bau_von_gebaeuden_2,8
01/07/2025;101,2021100bau_von_gebaeuden_2,2
01/08/2025;101,2021100bau_von_gebaeuden_2,2
01/09/2025;102,2021100bau_von_gebaeuden_2,7
01/10/2025;102,2021100bau_von_gebaeuden_2,9
01/11/2025;102,2021100bau_von_gebaeuden_2,8
01/12/2025;101,2021100bau_von_gebaeuden_2,8
01/01/2026;100,2021100bau_von_gebaeuden_2,0
01/02/2026;100,2021100bau_von_gebaeuden_2,7
01/03/2026;101,2021100bau_von_gebaeuden_2,9
