umsatz_im_einzelhandel_nach_ausgewhlten_wirtschaftszweigen,preisbereinigt_real,col_3,col_4,col_5,col_6,col_7
Datum;EinzelhandelmitNahrungsmittelnusw.(inVerkaufsr�umen),Messzahlen2015=100;EinzelhandelmitMotorenkraftstoffen(Tankstellen),Messzahlen2015=100;EinzelhandelmitKommunikations-undInformations�technik(inVerkaufs�r�umen),Messzahlen2015=100;EinzelhandelmitsonstigenHaushalts�ger�tenusw.(inVerkaufs�r�umen),Messzahlen2015=100;Einzelhandel(nichtinVerkaufs�r�umenu.�.),Messzahlen2015=100;Kfz-Handel,Instand�haltungundReparaturvonKfz
01/01/2011;89,6;88,6;89,4;86,1;64,1;76,8
01/02/2011;91,9;86,9;73,5;88,1;65,4;85,8
01/03/2011;103,3;94,8;77,0;109,4;69,4;107,3
01/04/2011;109,9;95,4;71,5;108,8;59,2;96,9
01/05/2011;111,2;101,5;76,0;107,6;66,6;106,2
01/06/2011;108,1;97,3;74,9;96,0;59,6;93,1
01/07/2011;108,2;99,8;81,5;100,1;63,2;93,5
01/08/2011;104,8;102,4;82,6;100,7;69,9;89,4
01/09/2011;104,1;98,7;83,2;102,6;72,7;97,3
01/10/2011;103,4;101,4;88,9;108,6;74,7;98,6
01/11/2011;104,6;97,9;97,5;111,3;79,5;102,1
01/12/2011;124,2;93,5;139,4;113,0;77,8;90,7
01/01/2012;89,3;88,5;93,4;89,3;68,8;79,4
01/02/2012;92,5;87,0;80,2;89,3;71,1;86,3
01/03/2012;105,2;94,9;89,0;114,8;71,4;110,3
01/04/2012;101,4;93,4;80,8;103,4;63,4;95,4
01/05/2012;108,4;100,0;78,3;103,8;68,9;97,1
01/06/2012;108,7;99,2;87,9;101,1;70,0;96,7
01/07/2012;103,7;100,6;85,0;100,4;69,6;93,9
01/08/2012;106,5;99,4;83,7;103,1;65,4;87,4
01/09/2012;99,0;95,5;85,2;99,0;72,2;88,2
01/10/2012;103,9;100,0;93,0;110,9;81,2;99,7
01/11/2012;103,9;95,8;103,2;110,5;84,3;96,3
01/12/2012;117,2;92,6;139,3;105,7;82,9;77,3
01/01/2013;89,2;89,9;97,0;88,1;76,2;76,3
01/02/2013;87,4;84,6;80,7;85,1;68,4;78,3
01/03/2013;101,4;95,3;89,9;101,1;76,1;93,9
01/04/2013;98,4;100,8;81,7;106,6;79,6;101,0
01/05/2013;105,0;102,5;79,3;102,3;74,4;94,2
01/06/2013;102,9;102,4;81,8;97,1;71,4;95,0
01/07/2013;106,9;105,7;83,8;101,1;74,4;95,7
01/08/2013;104,3;103,6;87,0;96,1;71,2;84,7
01/09/2013;95,8;102,2;91,9;96,4;77,6;90,8
01/10/2013;101,1;103,6;96,0;106,6;82,7;102,8
01/11/2013;101,7;99,6;105,4;108,0;88,1;96,0
01/12/2013;116,1;97,3;139,4;101,8;89,2;82,8
01/01/2014;88,7;92,4;99,6;86,9;79,4;81,3
01/02/2014;87,8;87,1;80,2;86,7;71,6;84,0
01/03/2014;96,8;97,1;84,9;105,3;82,4;100,0
01/04/2014;103,7;97,1;83,6;103,2;79,1;99,4
01/05/2014;105,6;100,8;87,0;101,1;76,0;96,7
01/06/2014;101,6;99,6;81,4;91,3;72,2;93,2
01/07/2014;105,2;105,1;92,0;97,3;76,4;97,6
01/08/2014;97,9;101,1;85,1;93,6;74,0;83,0
01/09/2014;96,2;100,4;96,0;96,7;81,6;95,1
01/10/2014;101,5;105,2;102,8;106,5;86,8;103,3
01/11/2014;98,7;100,1;112,3;104,3;88,9;94,9
01/12/2014;117,6;100,7;150,5;104,9;96,1;88,0
01/01/2015;88,1;93,5;104,4;88,5;84,1;81,8
01/02/2015;86,8;89,1;88,5;86,6;81,5;87,3
01/03/2015;96,8;97,6;94,7;107,3;93,8;112,7
01/04/2015;100,5;98,2;84,4;103,2;83,4;107,1
01/05/2015;102,8;101,6;83,3;99,5;93,4;97,7
01/06/2015;103,1;101,6;87,1;99,8;96,9;108,3
01/07/2015;108,1;105,5;96,1;100,5;100,8;105,7
01/08/2015;99,2;104,3;89,0;92,4;95,6;87,9
01/09/2015;96,4;101,5;98,7;99,1;105,7;100,8
01/10/2015;100,7;105,1;103,6;107,0;109,6;110,0
01/11/2015;98,5;100,0;114,5;106,7;118,7;107,6
01/12/2015;119,2;102,1;155,8;109,3;136,5;93,2
01/01/2016;86,1;93,9;100,9;86,4;103,4;86,1
01/02/2016;90,0;94,4;91,5;91,7;103,7;97,7
01/03/2016;99,0;102,3;93,9;104,4;109,6;112,4
01/04/2016;101,9;104,7;89,7;110,8;105,9;116,0
01/05/2016;103,9;107,5;83,5;102,6;102,3;105,4
01/06/2016;105,3;105,7;92,9;100,9;104,8;115,8
01/07/2016;105,8;108,2;93,1;98,8;98,3;99,9
01/08/2016;101,3;108,3;90,9;97,7;104,8;100,5
01/09/2016;100,7;106,1;95,2;96,9;106,0;108,9
01/10/2016;98,2;103,9;107,3;104,6;115,3;107,6
01/11/2016;99,4;102,5;118,3;107,3;133,7;114,4
01/12/2016;119,2;101,8;163,4;111,1;145,2;101,3
01/01/2017;85,8;94,7;114,9;85,8;114,0;93,9
01/02/2017;86,7;91,5;92,9;87,2;105,8;98,8
01/03/2017;99,5;106,0;104,9;112,7;121,6;128,7
01/04/2017;101,4;101,3;95,0;103,8;107,4;107,4
01/05/2017;106,5;110,6;94,5;108,0;117,3;118,9
01/06/2017;106,1;109,6;98,2;100,5;111,7;117,0
01/07/2017;104,2;109,8;105,1;100,8;110,6;106,6
01/08/2017;101,6;109,5;103,8;97,4;113,1;104,4
01/09/2017;99,1;105,8;108,4;99,3;117,6;108,8
01/10/2017;97,4;108,0;109,8;102,8;117,8;111,1
01/11/2017;100,6;106,4;130,9;109,2;151,2;121,8
01/12/2017;115,2;102,0;171,2;109,8;149,5;102,1
01/01/2018;87,4;97,8;117,2;89,8;120,1;101,0
01/02/2018;86,1;94,6;98,4;88,0;108,3;101,9
01/03/2018;101,6;107,1;113,7;105,2;124,4;121,5
01/04/2018;100,2;110,7;97,4;109,4;120,8;118,3
01/05/2018;106,9;114,0;96,5;102,7;117,5;116,7
01/06/2018;107,4;112,7;112,3;102,4;118,7;123,7
01/07/2018;105,2;114,8;105,1;98,7;121,4;113,8
01/08/2018;104,7;112,2;107,3;95,9;117,9;107,2
01/09/2018;96,3;107,6;116,3;94,5;118,7;103,1
01/10/2018;100,1;114,1;119,1;106,9;134,9;119,6
01/11/2018;101,1;110,4;146,7;110,4;160,0;120,1
01/12/2018;111,6;103,6;175,6;106,2;148,1;97,8
01/01/2019;88,1;102,7;125,3;90,6;132,1;103,2
01/02/2019;88,4;102,1;104,8;90,4;119,0;107,2
01/03/2019;97,2;111,0;117,9;109,5;131,1;125,0
01/04/2019;104,0;111,7;106,1;110,9;132,2;121,7
01/05/2019;105,7;114,3;107,9;108,3;128,6;126,4
01/06/2019;104,2;112,9;109,4;98,7;124,6;114,3
01/07/2019;106,0;118,3;110,7;105,7;138,7;124,6
01/08/2019;103,1;115,1;119,8;99,1;126,3;108,4
01/09/2019;96,0;113,2;126,8;97,8;133,5;113,4
01/10/2019;100,9;116,9;128,9;108,4;141,4;124,1
01/11/2019;102,5;113,5;155,9;112,8;163,8;120,0
01/12/2019;111,9;108,8;185,5;108,4;165,7;104,3
01/01/2020;89,9;106,6;135,7;94,4;139,4;107,7
01/02/2020;92,1;105,3;118,0;96,6;130,8;108,1
01/03/2020;98,6;107,9;99,7;101,6;152,2;105,7
