datum,originalwert_messzahlen_2015100,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,restkomponente_bv_41
01/11/2010,107.0,7.2,99.2,0.1,98.8,0.0,-0.4
01/12/2010,100.5,4.4,99.3,0.2,97.9,-0.9,-1.4
01/01/2011,87.1,7.5,99.5,0.2,99.2,1.3,-0.3
01/02/2011,91.0,6.8,99.7,0.2,100.9,1.8,1.3
01/03/2011,108.5,1.5,99.8,0.1,99.6,-1.3,-0.2
01/04/2011,96.7,0.3,99.9,0.1,100.3,0.6,0.4
01/05/2011,104.7,8.7,100.0,0.1,99.7,-0.6,-0.3
01/06/2011,97.9,-5.8,100.1,0.1,98.9,-0.8,-1.2
01/07/2011,97.9,-0.3,100.2,0.1,100.6,1.7,0.4
01/08/2011,101.8,4.9,100.3,0.1,100.3,-0.3,-0.0
01/09/2011,108.4,2.2,100.3,0.0,101.1,0.9,0.8
01/10/2011,103.2,-0.3,100.3,-0.0,100.9,-0.3,0.5
01/11/2011,107.9,0.8,100.2,-0.1,100.2,-0.6,-0.0
01/12/2011,101.0,0.5,100.1,-0.1,100.3,0.1,0.2
01/01/2012,90.3,3.7,99.9,-0.1,99.4,-0.9,-0.5
01/02/2012,93.3,2.5,99.8,-0.1,98.8,-0.6,-1.0
01/03/2012,107.0,-1.4,99.7,-0.1,100.8,2.0,1.1
01/04/2012,94.7,-2.1,99.6,-0.1,99.1,-1.7,-0.5
01/05/2012,100.3,-4.2,99.5,-0.1,99.5,0.5,0.0
01/06/2012,100.8,3.0,99.4,-0.1,100.2,0.7,0.8
01/07/2012,99.4,1.5,99.3,-0.1,99.1,-1.0,-0.2
01/08/2012,100.0,-1.8,99.2,-0.1,98.8,-0.3,-0.4
01/09/2012,99.1,-8.6,99.2,-0.0,98.5,-0.3,-0.7
01/10/2012,107.3,4.0,99.2,0.0,99.2,0.7,-0.0
01/11/2012,105.6,-2.1,99.2,0.0,99.5,0.3,0.2
01/12/2012,93.0,-7.9,99.2,-0.0,99.9,0.4,0.7
01/01/2013,92.1,2.0,99.2,-0.1,99.4,-0.5,0.2
01/02/2013,88.1,-5.6,99.1,-0.1,98.8,-0.6,-0.3
01/03/2013,98.7,-7.8,99.0,-0.0,98.3,-0.4,-0.7
01/04/2013,101.1,6.8,99.1,0.0,98.8,0.5,-0.2
01/05/2013,97.5,-2.8,99.2,0.1,99.7,0.9,0.5
01/06/2013,98.3,-2.5,99.3,0.1,99.0,-0.8,-0.3
01/07/2013,102.9,3.5,99.4,0.1,99.4,0.4,0.0
01/08/2013,98.3,-1.7,99.5,0.1,100.4,1.0,0.9
01/09/2013,102.9,3.8,99.6,0.1,99.9,-0.5,0.3
01/10/2013,107.0,-0.3,99.7,0.1,99.2,-0.7,-0.5
01/11/2013,102.0,-3.4,99.8,0.1,99.1,-0.1,-0.7
01/12/2013,96.4,3.7,99.9,0.1,99.6,0.6,-0.2
01/01/2014,93.8,1.8,100.0,0.1,100.3,0.7,0.4
01/02/2014,91.1,3.4,100.0,0.0,100.4,0.1,0.4
01/03/2014,102.7,4.1,100.0,0.0,99.7,-0.7,-0.3
01/04/2014,101.7,0.6,100.1,0.0,100.9,1.1,0.8
01/05/2014,98.0,0.5,100.2,0.1,99.4,-1.5,-0.8
01/06/2014,97.6,-0.7,100.3,0.1,100.4,1.0,0.1
01/07/2014,103.5,0.6,100.4,0.1,100.2,-0.1,-0.2
01/08/2014,94.1,-4.3,100.5,0.1,99.9,-0.3,-0.6
01/09/2014,106.8,3.8,100.7,0.1,100.8,0.9,0.1
01/10/2014,108.4,1.3,100.8,0.1,101.6,0.8,0.8
01/11/2014,101.1,-0.9,100.8,0.0,101.1,-0.4,0.4
01/12/2014,101.2,5.0,100.7,-0.1,100.4,-0.8,-0.3
01/01/2015,91.4,-2.6,100.6,-0.1,100.4,0.1,-0.2
